bpm,genre,title,artist
130,DANCE POP,never…,Kanako Hoshino with dj TAKA
100-350,PIANO CONCERTO,op.31 叙情,akiko
176,DRUM & BASS,PHOTONGENIC,L.E.D. fw.堀澤麻衣子
160,EUROBEAT,Roulette,Y&Co.
149,HANDZ UP,Second Heaven,Ryu☆
140,RAVE,Sense 2007,good-cool
189,ELE POP,smile,miru_maki.gjw
145,TRANCE,snow storm,dj TAKA
156,SCHRANZ,the shadow,kors k
136,POP,The Smile of You,猫叉Master feat.JESSY
130-190,PSG WORKS,TRANOID,T&S seq. factory
185,DECEPTIVE GABBA,VANESSA,朱雀
121,HIP HOP,Watch out!!,MAD Sequence*
135,J-HOUSE,With your Smile,Shoichiro Hirata plus Junko Hirata
140,RETRO RAVE,X-rated,SADA
185,FUTURE POP,クルクル☆ラブ～Opioid Peptide MIX～,イオンチャンネル
180,HYPER J-POP ZERO,零 - ZERO -,TЁЯRA
165,NU-NRG,電人、暁に斃れる。,L.E.D.-G
150,JAPANESE ALTERATION,花吹雪 ～ IIDX LIMITED ～,S.S.D.FANTASICA feat.ユッコ
165,J-POP,星をこの手に,DJ YOSHITAKA feat.星野奏子
150,TECHNO,ヨシダさん,AKIRA YAMAOKA
155,EURO TRANCE,リグレット,星野奏子
185,HARD RENAISSANCE,Anisakis -somatic mutation type"Forza"-,朱雀
130-146,CLASSICAL PIANO SOLO,avant-guerre,Osamu Kubota
165,TECH-TRONIKA,beatonic nation,Sota Fujimori
160,EUROBEAT,Be OK,good-cool ft. Florence
144,TRANCE,Blue Rain,dj TAKA VS Ryu☆
100,J-R&B,Darling my LUV,DJ Yoshitaka feat.B-Agents
149,HANDZ UP,Dazzlin' Darlin,HHH
128,TECH-BREAKBEATS,Digitank System,DJ Mass MAD Izm*
300,N-BEATS,Do it!! Do it!!,Kraken
162,FRENZY HOUSE,end of world,猫叉Master+
133,PROG,evergreen,kors k
125-195,JUNGLE,four pieces of heaven,Lion
145,TRANCE,Freeway Shuffle,dj TAKA
126-251,NU-SKOOL BREAKBEATS HARDCORE,ICARUS,Eagle
180,HAPPY HARDCORE,in the Sky,Ryu☆
178,HAPPY HARDCORE,LOVELY STORM,L.E.D.-G
125,PROGRESSIVE HOUSE,madrugada,PINK PONG
180,LOVELY BUCHIAGE POP,MAX LOVE,DJ YOSHITAKA feat.星野奏子
168,IRREGULAR HI-BREAK,MENDES,Humanoid
145,HARD HOP,MENTAL MELTDOWN,GUHROOVY fw.TECHNORCH
165,ONLY ONE EURO BEAT,NEW GENERATION -もう、お前しか見えない-,SUPER STAR 満-MITSURU-
162,HYMNUS,oratio,蓑舞衆
75-300,SUPERNOVA2 BEAT #1,PARANOiA ～HADES～,αTYPE-300
70,BALLAD,PROMISE FOR LIFE,TЁЯRA WORKS
171,TRI EURO FANTASIA,REMINISCENCE,jun with Alison
160,OUVERTÜRE,Ristaccia,Zektbach
154,HARD HOUSE,satellite020712 from "CODED ARMS",猫叉Master
180,RAVE,satfinal,RAM
141,WORLD/ELECTRONICA,scar in the earth,猫叉Master
184,FREEFORM HARDCORE,SOUND OF GIALLARHORN,L.E.D.-G
155,TECHNOTRONICA,State Of The Art,Sota Fujimori feat. cyborg AKEMI
205,BREAK CORE,STEEL NEEDLE,Scorpion
152,ULTIMATE J-POP,switch,DAISUKE ASAKURA ex.TЁЯRA
